Date,close,prediction,confidence,predicted_return,signal,position_size
2025-04-17,196.97999572753906,1,0.7440599,0.03,BUY,0.007321797609329223
2025-04-21,193.16000366210938,1,0.8493957,0.03,BUY,0.010481870770454406
2025-04-22,199.74000549316406,1,0.50260335,0.03,HOLD,0.0
2025-04-23,204.60000610351562,0,0.2697351,-0.03,HOLD,0.0
2025-04-24,208.3699951171875,1,0.51940984,0.03,HOLD,0.0
2025-04-25,209.27999877929688,1,0.72945064,0.03,BUY,0.006883519291877746
2025-04-28,210.13999938964844,0,0.34781086,-0.03,HOLD,0.0
2025-04-29,211.2100067138672,1,0.61508054,0.03,HOLD,0.0
2025-04-30,212.5,1,0.59579265,0.03,HOLD,0.0
2025-05-01,213.32000732421875,0,0.49295595,-0.03,HOLD,0.0
2025-05-02,205.35000610351562,0,0.06580898,-0.03,HOLD,0.0
2025-05-05,198.88999938964844,0,0.30207226,-0.03,HOLD,0.0
2025-05-06,198.50999450683594,1,0.6061145,0.03,HOLD,0.0
2025-05-07,196.25,1,0.89895946,0.03,BUY,0.011968783736228943
2025-05-08,197.49000549316406,1,0.90497804,0.03,BUY,0.012149341106414795
2025-05-09,198.52999877929688,1,0.89100224,0.03,BUY,0.011730067133903503
2025-05-12,210.7899932861328,1,0.93007845,0.03,BUY,0.012902353405952452
2025-05-13,212.92999267578125,1,0.9293824,0.03,BUY,0.012881471514701842
2025-05-14,212.3300018310547,1,0.8352631,0.03,BUY,0.010057892203330993
2025-05-15,211.4499969482422,1,0.9058688,0.03,BUY,0.012176064848899841
2025-05-16,211.25999450683594,1,0.8446142,0.03,BUY,0.01033842623233795
2025-05-19,208.77999877929688,1,0.8207667,0.03,BUY,0.009623000621795655
2025-05-20,206.86000061035156,1,0.7374404,0.03,BUY,0.007123212218284607
2025-05-21,202.08999633789062,1,0.93858826,0.03,BUY,0.013157647848129271
2025-05-22,201.36000061035156,1,0.98360324,0.03,BUY,0.014508097171783446
2025-05-23,195.27000427246094,1,0.9867569,0.03,BUY,0.014602707624435425
2025-05-27,200.2100067138672,1,0.9297382,0.03,BUY,0.012892146706581115
2025-05-28,200.4199981689453,1,0.94022536,0.03,BUY,0.013206760883331298
2025-05-29,199.9499969482422,1,0.91822976,0.03,BUY,0.012546892762184143
2025-05-30,200.85000610351562,1,0.91532534,0.03,BUY,0.012459760308265686
2025-06-02,201.6999969482422,1,0.77559716,0.03,BUY,0.008267914652824402
2025-06-03,203.27000427246094,1,0.6686958,0.03,BUY,0.005060874223709106
2025-06-04,202.82000732421875,1,0.8164166,0.03,BUY,0.009492498636245726
2025-06-05,200.6300048828125,1,0.89371985,0.03,BUY,0.011811595559120178
2025-06-06,203.9199981689453,1,0.90103036,0.03,BUY,0.012030910849571228
2025-06-09,201.4499969482422,1,0.7449454,0.03,BUY,0.00734836220741272
2025-06-10,202.6699981689453,1,0.95628005,0.03,BUY,0.013688401579856872
2025-06-11,198.77999877929688,1,0.95507914,0.03,BUY,0.013652374148368835
2025-06-12,199.1999969482422,1,0.94944954,0.03,BUY,0.013483486175537109
2025-06-13,196.4499969482422,1,0.9909209,0.03,BUY,0.014727627038955688
2025-06-16,198.4199981689453,1,0.66736585,0.03,BUY,0.005020975470542907
2025-06-17,195.63999938964844,1,0.96611184,0.03,BUY,0.013983355164527892
2025-06-18,196.5800018310547,1,0.82634157,0.03,BUY,0.009790247082710266
2025-06-20,201.0,1,0.8515826,0.03,BUY,0.010547477602958679
2025-06-23,201.5,1,0.679262,0.03,BUY,0.005377859473228454
2025-06-24,200.3000030517578,1,0.79967123,0.03,BUY,0.008990136981010437
2025-06-25,201.55999755859375,1,0.78278804,0.03,BUY,0.008483641147613526
2025-06-26,201.0,1,0.8363761,0.03,BUY,0.01009128212928772
2025-06-27,201.0800018310547,0,0.45740873,-0.03,HOLD,0.0
2025-06-30,205.1699981689453,0,0.21743898,-0.03,HOLD,0.0
2025-07-01,207.82000732421875,0,0.22427309,-0.03,HOLD,0.0
2025-07-02,212.44000244140625,1,0.5569039,0.03,HOLD,0.0
2025-07-03,213.5500030517578,1,0.6310682,0.03,HOLD,0.0
2025-07-07,209.9499969482422,1,0.5785052,0.03,HOLD,0.0
2025-07-08,210.00999450683594,0,0.3928701,-0.03,HOLD,0.0
2025-07-09,211.13999938964844,1,0.72118455,0.03,BUY,0.006635536551475525
